parameter,mode,category,value,unit,official_source
Emission Factor,Road,12-16t truck,0.05,kg CO2e per tonne-km,"Table 4, Freight GHG Calculator Methodology Report (2022), GIZ India + TERI + DPIIT"
Emission Factor,Road,16-25t truck,0.04,kg CO2e per tonne-km,"Table 4, Freight GHG Calculator Methodology Report (2022), GIZ India + TERI + DPIIT"
Emission Factor,Road,25-40t truck,0.04,kg CO2e per tonne-km,"Table 4, Freight GHG Calculator Methodology Report (2022), GIZ India + TERI + DPIIT"
Emission Factor,Road,>40t truck,0.04,kg CO2e per tonne-km,"Table 4, Freight GHG Calculator Methodology Report (2022), GIZ India + TERI + DPIIT"
Emission Factor,Rail,All freight rakes,0.0106,kg CO2e per tonne-km,"India Default GHG Emission Values v1.0, Smart Freight Centre + TERI + IIM Bangalore (May 2025)"
Emission Factor,Air,Belly cargo domestic,1.58,kg CO2 per tonne-km,"Table 9, Freight GHG Calculator Methodology Report; sourced from India GHG Programme (2015)"
Emission Factor,Air,Dedicated freighter (avg of 5 aircraft),0.534,kg CO2 per tonne-km,"Table 8, Freight GHG Calculator Methodology Report"
Cost Rate,Road,12-16t truck - North zone,2.49,INR per tonne-km,"Table 5, Freight GHG Calculator Methodology Report; sourced from National Freight Index (Rivigo)"
Cost Rate,Road,12-16t truck - South zone,2.17,INR per tonne-km,"Table 5, Freight GHG Calculator Methodology Report"
Cost Rate,Road,12-16t truck - East zone,3.71,INR per tonne-km,"Table 5, Freight GHG Calculator Methodology Report"
Cost Rate,Road,12-16t truck - West zone,3.71,INR per tonne-km,"Table 5, Freight GHG Calculator Methodology Report"
Cost Rate,Road,16-25t truck - North zone,1.985,INR per tonne-km,"Table 5 (avg of 10-tyre/12-tyre subtypes), Freight GHG Calculator Methodology Report"
Cost Rate,Road,16-25t truck - South zone,1.875,INR per tonne-km,"Table 5 (avg of 10-tyre/12-tyre subtypes), Freight GHG Calculator Methodology Report"
Cost Rate,Road,16-25t truck - East zone,3.225,INR per tonne-km,"Table 5 (avg of 10-tyre/12-tyre subtypes), Freight GHG Calculator Methodology Report"
Cost Rate,Road,16-25t truck - West zone,2.72,INR per tonne-km,"Table 5 (avg of 10-tyre/12-tyre subtypes), Freight GHG Calculator Methodology Report"
Cost Rate,Road,25-40t / >40t truck - North zone,2.00,INR per tonne-km,"Table 5, Freight GHG Calculator Methodology Report"
Cost Rate,Road,25-40t / >40t truck - South zone,1.62,INR per tonne-km,"Table 5, Freight GHG Calculator Methodology Report"
Cost Rate,Road,25-40t / >40t truck - East zone,2.46,INR per tonne-km,"Table 5, Freight GHG Calculator Methodology Report"
Cost Rate,Road,25-40t / >40t truck - West zone,2.38,INR per tonne-km,"Table 5, Freight GHG Calculator Methodology Report"
Cost Rate,Rail,All freight (base average),1.36,INR per tonne-km,"National Freight Index / FOIS-based industry benchmark, cross-referenced in Freight GHG Calculator Methodology Report"
Cost Rate,Air,Belly cargo general commodity,14.0,INR per tonne-km,"Table 11 (0.014 Rs/kg-km x1000), Freight GHG Calculator Methodology Report; sourced from AERA Tariff Orders"
Cost Rate,Air,Belly cargo special commodity,18.0,INR per tonne-km,"Table 11 (0.018 Rs/kg-km x1000), Freight GHG Calculator Methodology Report"
Commodity Multiplier,All modes,Coal,0.604,relative to General Goods = 1.0,"Derived from Table 16 (IWT commodity costs), Freight GHG Calculator Methodology Report - applied as cross-modal proxy"
Commodity Multiplier,All modes,Cement / Construction Material,0.599,relative to General Goods = 1.0,"Derived from Table 16 (IWT commodity costs), Freight GHG Calculator Methodology Report - applied as cross-modal proxy"
Commodity Multiplier,All modes,General Goods,1.0,relative to General Goods = 1.0,"Derived from Table 16 (IWT commodity costs), Freight GHG Calculator Methodology Report - applied as cross-modal proxy"
Commodity Multiplier,All modes,Containerized Goods,1.284,relative to General Goods = 1.0,"Derived from Table 16 (IWT commodity costs), Freight GHG Calculator Methodology Report - applied as cross-modal proxy"
Commodity Multiplier,All modes,Automobile Parts,1.851,relative to General Goods = 1.0,"Derived from Table 16 (IWT commodity costs), Freight GHG Calculator Methodology Report - applied as cross-modal proxy"
Distance Factor,Road,Circuity factor applied to great-circle distance,1.30,multiplier (unitless),"Ballou, Rahardja & Sakai (2002), Transportation Research Part A, 36(9); Wang & Wu (2018), Transportation Research Part C, 96 (range 1.25-1.41, midpoint used)"
Distance Factor,Rail,Circuity factor (fallback only, no direct train match),1.15,multiplier (unitless),"Assumption: rail networks are generally less circuitous than road networks"
Distance Factor,Air,Detour factor applied to great-circle distance,1.05,multiplier (unitless),"ICAO Carbon Emissions Calculator methodology (Great Circle Distance-based)"
Social Cost of Carbon,All modes,Used for environmental_cost_inr column,86,USD per tonne CO2,"Ricke, K. et al. (2018), 'Country-level social cost of carbon,' Nature Climate Change, Vol 8, pp. 895-900"
Currency Conversion,All modes,USD to INR (used with Social Cost of Carbon),83,INR per USD,"Approximate reference rate - update to current rate as needed"
Speed Assumption,Road,Average incl. highway halts,40,km per hour,"General Indian highway operating average, cited across logistics industry sources"
Speed Assumption,Rail,Fallback speed (no direct train match),45,km per hour,"Assumption for estimated-distance routes only"
Speed Assumption,Air,Average cruising speed,800,km per hour,"Table 8, Freight GHG Calculator Methodology Report (average of 5 aircraft models)"
Handling Time,Road,Fixed loading/unloading buffer,1,hours,"Assumption, standard logistics practice"
Handling Time,Rail,Fixed terminal/yard buffer,6,hours,"Assumption, standard logistics practice"
Handling Time,Air,Fixed ground handling/customs buffer,5,hours,"Assumption, standard logistics practice"
Random Variance Band,Road,Cost fluctuation applied,+/-10%,percent,"Calibrated to CMIE truck freight rate tracking, Business Standard (March 2024) reporting on major metro routes"
Random Variance Band,Rail,Cost fluctuation applied,+/-8%,percent,"Assumption: rail pricing is more regulated than road, hence narrower band"
Random Variance Band,Air,Cost fluctuation applied,+/-10%,percent,"Calibrated to general air cargo tariff volatility noted in AERA Tariff Orders"
