origin,destination,mode,commodity,vehicle_or_aircraft_type,distance_km,cargo_weight_tonnes,tonne_km,cost_inr,time_hours,co2_kg,environmental_cost_inr,emission_factor_kgco2_per_tkm,base_rate_inr_per_tkm,distance_source
Mumbai,Delhi,Road,Coal,12-16t,1499.2,5,7496.1,14427.03,35.56,374.8,2675.35,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Coal,Freight Rake,1366,5,6830,5408.49,26.17,72.4,516.78,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Coal,Belly Cargo (Domestic),1210.9,5,6054.5,53618.32,6.65,9566.14,68283.08,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Coal,12-16t,1499.2,10,14992.1,30273.07,35.94,749.61,5350.69,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Coal,Freight Rake,1366,10,13660,11080.69,25.65,144.8,1033.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Coal,Belly Cargo (Domestic),1210.9,10,12109.0,96632.03,6.52,19132.27,136566.16,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Coal,25-40t,1499.2,20,29984.3,35906.29,36.63,1199.37,8561.11,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Coal,Freight Rake,1366,20,27320,22979.93,27.04,289.59,2067.11,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Coal,Belly Cargo (Domestic),1210.9,20,24218.1,193337.9,6.58,38264.55,273132.33,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Coal,>40t,1499.2,50,74960.7,105291.31,35.44,2998.43,21402.77,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Coal,Freight Rake,1366,50,68300,58849.6,27.45,723.98,5167.77,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Coal,Belly Cargo (Domestic),1210.9,50,60545.2,495612.55,6.24,95661.37,682830.82,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
