origin,destination,road_distance_km,rail_distance_km,rail_duration_hours,air_distance_km,sample_train,rail_distance_source
Mumbai,Delhi,1499.2,1366,20.92,1210.9,Maharashtra Sampark Kranti Express,REAL (uploaded Indian Railways dataset)
Mumbai,Pune,156.2,192,4.0,126.2,Deccan Express,REAL (uploaded Indian Railways dataset)
Mumbai,Ahmedabad,572.0,481,9.17,462.0,Lokshakti Express,REAL (uploaded Indian Railways dataset)
Mumbai,Chennai,1343.0,1283,29.17,1084.8,Mumbai CST-Chennai Mail,REAL (uploaded Indian Railways dataset)
Mumbai,Bengaluru,1098.9,1153,24.75,887.6,Udyan Express,REAL (uploaded Indian Railways dataset)
Mumbai,Hyderabad,807.9,790,14.33,652.5,Hussain Sagar Express,REAL (uploaded Indian Railways dataset)
Delhi,Pune,1533.3,1508,20.0,1238.5,Hazrat Nizamuddin-Pune AC Duronto Express,REAL (uploaded Indian Railways dataset)
Delhi,Ahmedabad,1010.6,933,16.33,816.3,Ashram SF Express,REAL (uploaded Indian Railways dataset)
Delhi,Chennai,2297.9,2176,28.33,1856.0,Hazrat Nizamuddin-Chennai Duronto,REAL (uploaded Indian Railways dataset)
Delhi,Bengaluru,2275.1,2294,33.5,1837.6,Bangalore-Hazrat Nizammudin Rajdhani Express,REAL (uploaded Indian Railways dataset)
Delhi,Hyderabad,1646.5,1670,30.17,1329.9,Dakshin SF Express,REAL (uploaded Indian Railways dataset)
Pune,Ahmedabad,673.6,635,11.92,544.0,Ahimsa Express,REAL (uploaded Indian Railways dataset)
Pune,Chennai,1188.7,1051.5,23.37,960.1,N/A,"ESTIMATED (Haversine x1.15, no direct train found)"
Pune,Bengaluru,955.8,845.5,18.79,772.0,N/A,"ESTIMATED (Haversine x1.15, no direct train found)"
Pune,Hyderabad,657.5,649,14.25,531.0,Pune-Hyderabad Express,REAL (uploaded Indian Railways dataset)
Ahmedabad,Chennai,1783.4,1893,33.58,1440.4,Navjeevan Express,REAL (uploaded Indian Railways dataset)
Ahmedabad,Bengaluru,1608.2,1802,34.83,1298.9,Ahmedabad Bangalore Express,REAL (uploaded Indian Railways dataset)
Ahmedabad,Hyderabad,1143.3,1011.4,22.48,923.5,N/A,"ESTIMATED (Haversine x1.15, no direct train found)"
Chennai,Bengaluru,377.2,358,6.0,304.7,CHENNAI CENTRAL - BANGALORE Lalbagh Exp,REAL (uploaded Indian Railways dataset)
Chennai,Hyderabad,669.8,715,13.0,541.0,Chennai - Hyderabad Express,REAL (uploaded Indian Railways dataset)
Bengaluru,Hyderabad,650.0,575.0,12.78,525.0,N/A,"ESTIMATED (Haversine x1.15, no direct train found)"
