station_code,station_name,state,zone,latitude,longitude,address
BDHL,Badhal,Rajasthan,NWR,27.2520587,75.4516454,"Kishangarh Renwal, Rajasthan"
XX-BECE,XX-BECE,,,,,
XX-BSPY,XX-BSPY,,,,,
YY-BPLC,YY-BPLC,,,,,
KHH,KICHHA,Uttar Pradesh,NER,28.913427000000002,79.519746,"Kichha, Uttar Pradesh"
SRKN,Sherekan,Rajasthan,NWR,29.55519806064484,74.43499088287354,"MDR 89, Rajasthan"
BKKA,Bhukarka,Rajasthan,NWR,29.238227312503696,74.75103096105158,"Bhukarka, Rajasthan"
NHR,Nohar,Rajasthan,NWR,29.192562738768984,74.77362781763077,"State Highway 36, Rajasthan"
PRGD,Perungudi,Tamil Nadu,SR,12.975217,80.231363,"Chennai, Tamil Nadu"
KNNA,Khinaniyan,Haryana,NWR,29.345637263205944,74.7179570607841,"State Highway 23, Haryana"
JKR,JAULKHERA,,,21.838466,78.216684,
BYS,BARSALI,,,21.909813,78.03136099999999,
GW,GIRWAR,,,23.838185999999997,78.936311,
DGD,DANGIDHAR,,,23.871771000000003,79.019912,
DOD,DHODHAR,Madhya Pradesh,WR,23.770740999999997,75.10354600000001,"Dhodar, Madhya Pradesh"
GAJ,GANESHGANJ,,,23.895862,79.074633,
JNM,Jayanagar Majilpur Halt,West Bengal,ER,22.168635,88.415324,"Jaynagar, West Bengal"
NSD,NASIRABAD,Rajasthan,NWR,26.294459999999997,74.71699100000001,"Nasirabad, Rajasthan"
PHA,PATHARIA,,,23.905726,79.192899,
NZB,NIZAMABAD,Andhra Pradesh,SCR,18.679164999999998,78.103238,"Nizamabad, Andhra Pradesh"
RJO,RAJENDRA PUL,,,25.387446999999998,86.01054599999999,
ADT,ADUTURAI,Tamil Nadu,SR,11.009165,79.478668,"Aduthurai, Tamil Nadu"
KMU,KUMBAKONAM,Tamil Nadu,SR,10.952962,79.388644,"Kumbakonam, Tamil Nadu"
MNM,MANAMADURAI JN,Tamil Nadu,SR,9.681538999999999,78.45351,"Sivaganga, Tamil Nadu"
GKP,GORAKHPUR JN,,,26.759311,83.381499,
BJUP,BJUP,,,,,
VRM,VARNAMA,,,22.184274000000002,73.16928300000001,
GKC,GORAKHPUR CANT,,,26.750649,83.416821,
ITA,ITOLA,,,22.149889,73.156746,
CIKA,CIKA,,,,,
XX-CPHO,XX-CPHO,,,,,
BTU,BARAUT,Uttar Pradesh,NR,29.09692,77.273006,"Baraut, Uttar Pradesh"
MOGA,Moga,Punjab,NR,30.817296,75.16846699999999,"Moga, Punjab"
SIOB,SAMAKHIALI JN,,,23.309819,70.503394,
LLHW,LLHW,,,,,
RDK,Rasheedpura Khori,Rajasthan,NWR,27.713786000000002,75.087121,"MDR 87, Rajasthan"
PVD,PEDDAVADIAPUDI,,,16.414205000000003,80.612645,
YLM,ELLAMANCHILI,,,17.553652000000003,82.85262,
CHPT,Chatrappatti,,,10.476970999999999,77.655113,
JLD,JARWAL ROAD,,,27.120389,81.540406,
BRJN,BRAJRAJNAGAR,,,21.822718000000002,83.923653,
CLJ,COLONELGANJ,,,27.137698,81.69417800000001,
KTHL,KATHOLA,,,27.1465555756,81.8556626477,
MND,MUNDERWA,,,26.776435,82.903373,
SNSI,SAINAGAR SHIRDI,Maharashtra,CR,19.780792299999998,74.4806877,"Near New Bus Stand Shirdi Sainagar, Maharashtra"
DLJ,DHOLA JN,Gujarat,WR,21.822549000000002,71.738273,"Dhola, Gujarat"
PGW,PHAGWARA JN,,,31.217555749800002,75.7655019775,
YY-BINP,YY-BINP,,,,,
JUP,Jhunpa,Rajasthan,?,28.777449,75.521553,"NH 65, Rajasthan"
XX-JSGB,XX-JSGB,,,,,
JSG,JHARSUGUDA JN,,,21.862274,84.017427,
KYW,KARCHHUE,,,26.2311244405,84.20715351199999,
MHRN,MAHENDRANATH,,,26.000739,84.509909,
TKVR,TAPPA KHAJURIAY,,,25.807401000000002,84.688889,
DPI,DODDAMPATTI,,,12.18134581,78.42225009,
SREE,SREE,,,,,
AQG,ASHAPURA GOMAT,Rajasthan,NWR,26.950232,71.892665,"National Highway 15, Rajasthan"
NEA,NEYKKARAPATTI,,,11.612765,78.09669699999999,
GRL,GORAUL,,,25.931048999999998,85.318477,
DKJC,DKJC,,,,,
KHI,KURHANI,,,25.979631,85.339288,
VNJ,TIRUPPUR VANJIPALAYAM,,,11.117790999999999,77.26580200000001,
CBF,COIMBATORE NORTH,,,11.019937,76.954304,
UMB,AMBALA CANT JN,,,30.338918,76.826966,
SRO,SIRATHU,,,25.650642,81.31786,
SJT,SHUJAATPUR,,,25.605607000000003,81.401934,
BDNP,BIDANPUR,,,25.585017,81.44201699999999,
MTPC,MOTIPURA CHAUKI,Rajasthan,WCR,24.6093382288,77.04829951629999,"Motipura, Rajasthan"
HTZ,HATHIDAH JN,,,25.367027,85.987826,
TSKG,TINSUKIA GOODS,,,,,
DDNI,DUDHNOI,Assam,NFR,26.001459,90.76188,"Dudhnoi Railway Station, Assam"
RDE,RUNDHI,,,28.067751,77.350991,
IJ,ITAUNJA,Uttar Pradesh,NER,27.081066999999997,80.89123400000001,"Itaunja, Uttar Pradesh"
RMX,Ramsar,Rajasthan,NWR,25.722252,70.866078,"Barmer, Rajasthan"
PBE,PILIBHIT JN,Uttar Pradesh,NER,28.614977999999997,79.813946,"Pilibhit, Uttar Pradesh"
RMB,Rampura Beri,Rajasthan,NWR,28.5301320576,75.64547982849999,"Rampura Bhal, Rajasthan"
MGS,MUGHAL SARAI JN,,,25.278149,83.11925000000001,
RSWT,Ramgarh Shekhawati,Rajasthan,NWR,28.169397,74.993046,"Ramgarh, Rajasthan"
BKNA,BAKAINA HALT,,,29.035800000000002,78.27473099999999,
HBD,HOSHANGABAD,,,22.75274,77.715594,
ANA,ASLANA,,,23.860522,79.319493,
BNI,BUDNI,,,22.7871143,77.6812826,
YY-IDHW,YY-IDHW,,,,,
DMGN,DHAMALGAON,Assam,NFR,27.325566,94.85656900000001,"A T Rd, Assam"
LKPL,LAKDIKAPUL,Andhra Pradesh,SCR,17.404048000000003,78.463527,"Hyderabad, Andhra Pradesh"
BRUD,BARUD,Madhya Pradesh,WCR,22.052142,76.814085,"Khandwa, Madhya Pradesh"
DVL,DEVLALI,,,19.897509,73.83729,
JRTR,Jurtara,,,22.253004999999998,79.76127199999999,
REWA,REWA,Madhya Pradesh,WCR,24.537122,81.250615,"Rewa, Madhya Pradesh"
DOK,DHOLKA,Gujarat,WR,22.731982,72.433842,"Bagodara Dholka, Gujarat"
NDR,NANDESARI,,,22.418331636999998,73.0952734283,
MYG,MIYAGAM KARJAN,,,22.050722,73.120353,
MBA,MAHOBA,Uttar Pradesh,NCR,25.306914,79.849079,"Junction Point - Khajuraho, Uttar Pradesh"
JGZ,Jamgaon,Madhya Pradesh,SECR,22.418426,80.198945,"Bamhani, Madhya Pradesh"
